id,type,code,name_km,name_en,districtId
1,ឃុំ,10201,បន្ទាយនាង,Banteay Neang,1
2,ឃុំ,10202,បត់ត្រង់,Bat Trang,1
3,ឃុំ,10203,ចំណោម,Chamnaom,1
4,ឃុំ,10204,គោកបល្ល័ង្គ,Kouk Ballangk,1
5,ឃុំ,10205,គយម៉ែង,Koy Maeng,1
6,ឃុំ,10206,អូរប្រាសាទ,Ou Prasat,1
7,ឃុំ,10207,ភ្នំតូច,Phnum Touch,1
8,ឃុំ,10208,រហាត់ទឹក,Rohat Tuek,1
9,ឃុំ,10209,ឫស្សីក្រោក,Ruessei Kraok,1
10,ឃុំ,10210,សំបួរ,Sambuor,1
11,ឃុំ,10211,សឿ,Soea,1
12,ឃុំ,10212,ស្រះរាំង,Srah Reang,1
13,ឃុំ,10213,តាឡំ,Ta Lam,1
14,ឃុំ,10301,ណាំតៅ,Nam Tau,2
15,ឃុំ,10302,ប៉ោយចារ,Poy Char,2
16,ឃុំ,10303,ពន្លៃ,Ponley,2
17,ឃុំ,10304,ស្ពានស្រែង,Spean Sraeng,2
18,ឃុំ,10305,ស្រះជីក,Srah Chik,2
19,ឃុំ,10306,ភ្នំដី,Phnum Dei,2
20,ឃុំ,10401,ឈ្នួរមានជ័យ,Chnuor Mean Chey,3
21,ឃុំ,10402,ជប់វារី,Chob Vari,3
22,ឃុំ,10403,ភ្នំលៀប,Phnum Lieb,3
23,ឃុំ,10404,ប្រាសាទ,Prasat,3
24,ឃុំ,10405,ព្រះនេត្រព្រះ,Preak Netr Preah,3
25,ឃុំ,10406,រហាល,Rohal,3
26,ឃុំ,10407,ទានកាំ,Tean Kam,3
27,ឃុំ,10408,ទឹកជោរ,Tuek Chour,3
28,ឃុំ,10409,បុស្បូវ,Bos Sbov,3
29,ឃុំ,10501,ចង្ហា,Changha,4
30,ឃុំ,10502,កូប,Koub,4
31,ឃុំ,10503,គុត្ដសត,Kuttasat,4
32,ឃុំ,10505,សំរោង,Samraong,4
33,ឃុំ,10506,សូភី,Souphi,4
34,ឃុំ,10507,សឹង្ហ,Soengh,4
35,ឃុំ,10509,អូរបីជាន់,Ou Beichoan,4
36,សង្កាត់,10602,កំពង់ស្វាយ,Kampong Svay,5
37,សង្កាត់,10603,កោះពងសត្វ,Kaoh Pong Satv,5
38,សង្កាត់,10604,ម្កាក់,Mkak,5
39,សង្កាត់,10605,អូរអំបិល,Ou Ambel,5
40,សង្កាត់,10606,ភ្នៀត,Phniet,5
41,សង្កាត់,10607,ព្រះពន្លា,Preah Ponlea,5
42,សង្កាត់,10608,ទឹកថ្លា,Tuek Thla,5
43,ឃុំ,10701,បន្ទាយឆ្មារ,Banteay Chhmar,6
44,ឃុំ,10702,គោករមៀត,Kouk Romiet,6
45,ឃុំ,10703,ភូមិថ្មី,Phum Thmei,6
46,ឃុំ,10704,ថ្មពួក,Thma Puok,6
47,ឃុំ,10705,គោកកឋិន,Kouk Kakthen,6
48,ឃុំ,10706,គំរូ,Kumru,6
49,ឃុំ,10801,ផ្គាំ,Phkoam,7
50,ឃុំ,10802,សារង្គ,Sarongk,7
51,ឃុំ,10803,ស្លក្រាម,Sla Kram,7
52,ឃុំ,10804,ស្វាយចេក,Svay Chek,7
53,ឃុំ,10805,តាបែន,Ta Baen,7
54,ឃុំ,10806,តាផូ,Ta Phou,7
55,ឃុំ,10807,ទ្រាស,Treas,7
56,ឃុំ,10808,រលួស,Roluos,7
57,ឃុំ,10901,បឹងបេង,Boeng Beng,8
58,ឃុំ,10902,ម៉ាឡៃ,Malai,8
59,ឃុំ,10903,អូរសំព័រ,Ou Sampoar,8
60,ឃុំ,10904,អូរស្រឡៅ,Ou Sralau,8
61,ឃុំ,10905,ទួលពង្រ,Tuol Pongro,8
62,ឃុំ,10906,តាគង់,Ta Kong,8
63,សង្កាត់,11001,និមិត្ដ,Nimitt,9
64,សង្កាត់,11002,ប៉ោយប៉ែត,Paoy Paet,9
65,សង្កាត់,11003,ផ្សារកណ្តាល,Phsar Kandal,9
66,ឃុំ,20101,កន្ទឺ ១,Kantueu Muoy,10
67,ឃុំ,20102,កន្ទឺ ២,Kantueu Pir,10
68,ឃុំ,20103,បាយដំរាំ,Bay Damram,10
69,ឃុំ,20104,ឈើទាល,Chheu Teal,10
70,ឃុំ,20105,ចែងមានជ័យ,Chaeng Mean Chey,10
71,ឃុំ,20106,ភ្នំសំពៅ,Phnum Sampov,10
72,ឃុំ,20107,ស្នឹង,Snoeng,10
73,ឃុំ,20108,តាគ្រាម,Ta Kream,10
74,ឃុំ,20201,តាពូង,Ta Pung,11
75,ឃុំ,20202,តាម៉ឺន,Ta Meun,11
76,ឃុំ,20203,អូរតាគី,Ou Ta Ki,11
77,ឃុំ,20204,ជ្រៃ,Chrey,11
78,ឃុំ,20205,អន្លង់រុន,Anlong Run,11
79,ឃុំ,20206,ជ្រោយស្ដៅ,Chrouy Sdau,11
80,ឃុំ,20207,បឹងព្រីង,Boeng Pring,11
81,ឃុំ,20208,គោកឃ្មុំ,Kouk Khmum,11
82,ឃុំ,20209,បន្សាយត្រែង,Bansay Traeng,11
83,ឃុំ,20210,រូងជ្រៃ,Rung Chrey,11
84,សង្កាត់,20301,ទួលតាឯក,Tuol Ta Ek,12
85,សង្កាត់,20302,ព្រែកព្រះស្ដេច,Prek Preah Sdach,12
86,សង្កាត់,20303,រតនៈ,Rottanak,12
87,សង្កាត់,20304,ចំការសំរោង,Chomkar Somraong,12
88,សង្កាត់,20305,ស្លាកែត,Sla Ket,12
89,សង្កាត់,20306,ក្ដុលដូនទាវ,Kdol Doun Teav,12
90,សង្កាត់,20307,អូរម៉ាល់,OMal,12
91,សង្កាត់,20308,វត្ដគរ,wat Kor,12
92,សង្កាត់,20309,អូរចារ,Ou Char,12
93,សង្កាត់,20310,ស្វាយប៉ោ,Svay Por,12
94,ឃុំ,20401,បវេល,Bavel,13
95,ឃុំ,20402,ខ្នាចរមាស,Khnach Romeas,13
96,ឃុំ,20403,ល្វា,Lvea,13
97,ឃុំ,20404,ព្រៃខ្ពស់,Prey Khpos,13
98,ឃុំ,20405,អំពិលប្រាំដើម,Ampil Pram Daeum,13
99,ឃុំ,20406,ក្ដុលតាហែន,Kdol Ta Haen,13
100,ឃុំ,20407,ឃ្លាំងមាស,Khlaeng Meas,13
101,ឃុំ,20408,បឹងប្រាំ,Boeung Pram,13
102,ឃុំ,20501,ព្រែកនរិន្ទ,Preaek Norint,14
103,ឃុំ,20502,សំរោងក្នុង,Samraong Knong,14
104,ឃុំ,20503,ព្រែកខ្ពប,Preaek Khpob,14
105,ឃុំ,20504,ព្រែកហ្លួង,Preaek Luong,14
106,ឃុំ,20505,ពាមឯក,Peam Aek,14
107,ឃុំ,20506,ព្រៃចាស់,Prey Chas,14
108,ឃុំ,20507,កោះជីវាំង,Kaoh Chiveang,14
109,ឃុំ,20601,មោង,Moung,15
110,ឃុំ,20602,គារ,Kear,15
111,ឃុំ,20603,ព្រៃស្វាយ,Prey Svay,15
112,ឃុំ,20604,ឫស្សីក្រាំង,Ruessei Krang,15
113,ឃុំ,20605,ជ្រៃ,Chrey,15
114,ឃុំ,20606,តាលាស់,Ta Loas,15
115,ឃុំ,20607,កកោះ,Kakaoh,15
116,ឃុំ,20608,ព្រៃតូច,Prey Touch,15
117,ឃុំ,20609,របស់មង្គល,Robas Mongkol,15
