id,type,code,name_km,name_en,provinceId
1,ស្រុក,102,មង្គលបូរី,Mongkol Borei,1
2,ស្រុក,103,ភ្នំស្រុក,Phnum Srok,1
3,ស្រុក,104,ព្រះនេត្រព្រះ,Preah Netr Preah,1
4,ស្រុក,105,អូរជ្រៅ,Ou Chrov,1
5,ក្រុង,106,សិរីសោភ័ណ,Serei Saophoan,1
6,ស្រុក,107,ថ្មពួក,Thma Puok,1
7,ស្រុក,108,ស្វាយចេក,Svay Chek,1
8,ស្រុក,109,ម៉ាឡៃ,Malai,1
9,ក្រុង,110,ប៉ោយប៉ែត,Paoy Paet,1
10,ស្រុក,201,បាណន់,Banan,2
11,ស្រុក,202,ថ្មគោល,Thma Koul,2
12,ក្រុង,203,បាត់ដំបង,Battambang,2
13,ស្រុក,204,បវេល,Bavel,2
14,ស្រុក,205,ឯកភ្នំ,Aek Phnum,2
15,ស្រុក,206,មោងឫស្សី,Moung Ruessei,2
16,ស្រុក,207,រតនមណ្ឌល,Rotonak Mondol,2
17,ស្រុក,208,សង្កែ,Sangkae,2
18,ស្រុក,209,សំឡូត,Samlout,2
19,ស្រុក,210,សំពៅលូន,Sampov Lun,2
20,ស្រុក,211,ភ្នំព្រឹក,Phnum Proek,2
21,ស្រុក,212,កំរៀង,Kamrieng,2
22,ស្រុក,213,គាស់ក្រឡ,Koas Krala,2
23,ស្រុក,214,រុក្ខគិរី,Rukh Kiri,2
24,ស្រុក,301,បាធាយ,Batheay,3
25,ស្រុក,302,ចំការលើ,Chamkar Leu,3
26,ស្រុក,303,ជើងព្រៃ,Cheung Prey,3
27,ក្រុង,305,កំពង់ចាម,Kampong Cham,3
28,ស្រុក,306,កំពង់សៀម,Kampong Siem,3
29,ស្រុក,307,កងមាស,Kang Meas,3
30,ស្រុក,308,កោះសូទិន,Kaoh Soutin,3
31,ស្រុក,313,ព្រៃឈរ,Prey Chhor,3
32,ស្រុក,314,ស្រីសន្ធរ,Srei Santhor,3
33,ស្រុក,315,ស្ទឹងត្រង់,Stueng Trang,3
34,ស្រុក,401,បរិបូណ៌,Baribour,4
35,ស្រុក,402,ជលគីរី,Chol Kiri,4
36,ក្រុង,403,កំពង់ឆ្នាំង,Kampong Chhnang,4
37,ស្រុក,404,កំពង់លែង,Kampong Leaeng,4
38,ស្រុក,405,កំពង់ត្រឡាច,Kampong Tralach,4
39,ស្រុក,406,រលាប្អៀរ,Rolea B'ier,4
40,ស្រុក,407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,4
41,ស្រុក,408,ទឹកផុស,Tuek Phos,4
42,ស្រុក,501,បរសេដ្ឋ,Basedth,5
43,ក្រុង,502,ច្បារមន,Chbar Mon,5
