id,type,code,name_km,name_en
1,ខេត្ត​,1,បន្ទាយមានជ័យ,Banteay Meanchey
2,ខេត្ត​,2,បាត់ដំបង,Battambang
3,ខេត្ត​,3,កំពង់ចាម,Kampong Cham
4,ខេត្ត​,4,កំពង់ឆ្នាំង,Kampong Chhnang
5,ខេត្ត​,5,កំពង់ស្ពឺ,Kampong Speu
6,ខេត្ត​,6,កំពង់ធំ,Kampong Thom
7,ខេត្ត​,7,កំពត,Kampot
8,ខេត្ត​,8,កណ្ដាល,Kandal
9,ខេត្ត​,9,កោះកុង,Koh Kong
10,ខេត្ត​,10,ក្រចេះ,Kratie
11,ខេត្ត​,11,មណ្ឌលគិរី,Mondul Kiri
12,ខេត្ត​,12,រាជធានីភ្នំពេញ,Phnom Penh
13,ខេត្ត​,13,ព្រះវិហារ,Preah Vihear
14,ខេត្ត​,14,ព្រៃវែង	,Prey Veng
15,ខេត្ត​,15,ពោធិ៍សាត់	,Pursat
16,ខេត្ត​,16,រតនគិរី	,Ratanak Kiri
17,ខេត្ត​,17,សៀមរាប	,Siemreap
18,ខេត្ត​,18,ព្រះសីហនុ	,Preah Sihanouk
19,ខេត្ត​,19,ស្ទឹងត្រែង	,Stung Treng
20,ខេត្ត​,20,ស្វាយរៀង	,Svay Rieng
21,ខេត្ត​,21,តាកែវ	,Takeo
22,ខេត្ត​,22,ឧត្ដរមានជ័យ	,Oddar Meanchey
23,ខេត្ត​,23,កែប	,Kep
24,ខេត្ត​,24,ប៉ៃលិន	,Pailin
25,ខេត្ត​,25,ត្បូងឃ្មុំ	,Tboung Khmum
